STATION,STATION_CODE,DATA_SOURCE,SITE_TYPE,OWNER,FIRE_CENTRE,FIRE_ZONE,LATITUDE,LONGITUDE,ELEVATION,or_site_id,site_id,client_id,system_id
POWDER CREEK,380,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Southeast Fire Centre,Kootenay Lake Zone,49.9065,-116.8551,1019,NA,NA,NA,NA
POWELL RIVER WEST LAKE,1218,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Coastal Fire Centre,Sunshine Coast Zone,49.818,-124.4499,160,NA,NA,NA,NA
PRAIRIE CREEK,264,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Cariboo Fire Centre,Central Cariboo Zone (Horsefly),52.3917,-120.985,1015,NA,NA,NA,NA
PRINCE GEORGE (EC),186,Environment Canada,External,Environment Canada,Prince George Fire Centre,Prince George Zone,53.9,-122.7,691,NA,NA,NA,NA
PRINCE RUPERT (EC),88,Environment Canada,External,Environment Canada,Northwest Fire Centre,Skeena Zone (North Coast),54.3,-130.4,35,NA,NA,NA,NA
PROMONTORY  SF,478,Non-Reporting,Store Forward,BC Wildfire Service,Kamloops Fire Centre,Merritt Zone,50.1949,-120.973,1735,NA,NA,NA,NA
PUNTZI MOUNTAIN (EC),203,Environment Canada,External,Environment Canada,Cariboo Fire Centre,Chilcotin Zone,52.1,-124.2,910,NA,NA,NA,NA
PUNTZI SF,1170,Non-Reporting,Store Forward,BC Wildfire Service,Cariboo Fire Centre,Chilcotin Zone,52.1614,-124.2058,1365,NA,NA,NA,NA
PURCELL   SF,499,Non-Reporting,Store Forward,BC Wildfire Service,Southeast Fire Centre,Invermere Zone,50.2395,-115.9783,2302,NA,NA,NA,NA
QD3 SIX MILE SLOUGH,4412,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Southeast Fire Centre,Kootenay Lake Zone,49.2,-116.6333,534,NA,NA,NA,NA
QUALICUM AP (EC),1015,Environment Canada,External,Environment Canada,Coastal Fire Centre,Mid Island Zone,49.3333,-124.3833,58,NA,NA,NA,NA
QUESNEL (EC),229,Environment Canada,External,Environment Canada,Cariboo Fire Centre,Quesnel Zone,53,-122.4,545,NA,NA,NA,NA
QUINSAM BASE FWX,1093,Auto-Caller,Weather Station - Cell,BC Wildfire Service,Coastal Fire Centre,North Island Mid Coast Zone (Campbell River),50.0267,-125.2929,68,488,173.181.134.41:48031,f123a2e6-fdcf-460a-bfd1-409f859bb62d,13
RAFT,2512,Auto-Caller,Weather Station - GOES,BC Wildfire Service,Kamloops Fire Centre,Kamloops Zone (Kamloops),51.765,-119.6751,920,NA,NA,NA,NA
RED DEER,138,Auto-Caller,Weather Station - UHF,BC Wildfire Service,Prince George Fire Centre,Dawson Creek Zone,54.633,-120.5762,1306,NA,NA,NA,NA
REDSTREAK,1260,Auto-Caller,Weather Station - GOES,Parks Canada,Southeast Fire Centre,Invermere Zone,50.6229,-116.0628,1009,NA,NA,NA,NA
